S11m,S11p,S21m,S21p,Frequency
5.7408237347,-106.20736629,-52.819547475,-131.59460014,2000.0
5.4663567171,-77.960139393,-56.727896241,-117.83214778,2010.0
5.3679568139,-46.568233778,-53.287496331,-125.46946802,2020.0
5.8631948702,-13.56278057,-39.022865528,170.97851937,2030.0
7.3368868988,20.236255466,-47.86686477,58.667064132,2040.0
11.63900389,46.273517801,-46.463583085,9.8072509765,2050.0
12.541812034,23.418107222,-48.242990109,-81.3280941,2060.0
8.2198443216,41.063642912,-54.942679457,-118.39384288,2070.0
6.4401154316,70.228367418,-54.335555792,-140.84890561,2080.0
5.6867455847,99.116794858,-51.284887591,-177.06315505,2090.0
5.3319011061,127.04464337,-52.451355167,109.88686108,2100.0
5.0249416134,153.92067242,-57.849726299,82.556129672,2110.0
4.9865294844,-177.18985535,-56.087450517,74.747657178,2120.0
5.3326540915,-146.4284969,-46.190377991,30.789937159,2130.0
6.5643136788,-114.18975007,-50.507885124,-98.594085328,2140.0
10.381000773,-89.202015175,-51.059643958,-135.73211604,2150.0
11.324412959,-107.2032888,-52.08747262,143.27982354,2160.0
7.5575626614,-89.135731761,-56.197393542,106.28454457,2170.0
6.0280320683,-59.851712237,-57.275200278,82.165518136,2180.0
5.3661799489,-31.125010093,-54.552933888,43.259614928,2190.0
5.0353820124,-3.1999766616,-53.557036724,-5.9013171173,2200.0
4.9163696035,24.339656784,-58.076438853,-52.603469005,2210.0
4.9202355345,52.471608524,-60.259742752,-52.37958282,2220.0
5.1527346858,81.719586278,-51.065950257,-58.753170642,2230.0
6.1528866084,112.82411408,-44.686927365,167.83174024,2240.0
9.4114434954,139.28718074,-47.294526008,110.44597005,2250.0
10.93944138,126.49009341,-48.105545898,26.266213447,2260.0
7.2901934677,141.91208772,-54.443633976,-22.274431899,2270.0
5.8085401519,170.14997908,-55.897254175,-63.148992369,2280.0
5.178509168,-161.96630058,-56.32256886,-100.45121482,2290.0
4.9050784084,-134.46984715,-59.523630966,-138.78157689,2300.0
4.8160756346,-107.05551367,-62.638669854,-179.5595629,2310.0
4.8167586231,-79.20700628,-65.400688569,-177.92323158,2320.0
5.0527615107,-50.711041959,-56.296938609,-171.08756839,2330.0
5.8813085562,-19.976006664,-40.921920399,51.342391911,2340.0
8.6790262349,8.265875478,-48.085267802,-23.564778727,2350.0
10.833518514,-1.3503600451,-49.835324267,-115.88234251,2360.0
7.1672950327,12.202663872,-57.530714446,176.47082418,2370.0
5.5950181841,40.319400288,-62.445467497,146.81583163,2380.0
4.9824972811,68.160072252,-68.421734266,130.28859425,2390.0
4.6679188048,95.087149885,-70.174799187,108.08207034,2400.0
4.5551514317,121.40851906,-71.197452048,90.918238685,2410.0
4.5911898161,147.92275223,-70.979159384,81.833324337,2420.0
4.8203234548,175.2265961,-66.55637324,87.785520148,2430.0
5.5119627573,-155.88507041,-51.102233238,32.895719118,2440.0
7.7597070345,-127.79639041,-51.880621802,-88.23382545,2450.0
10.534261803,-129.88750097,-51.046811013,-173.77372685,2460.0
7.2411004155,-120.95451264,-54.867899815,111.13511988,2470.0
5.6601011386,-92.680081408,-59.626840021,58.001018263,2480.0
5.0221867145,-64.281275081,-63.043260608,11.65105619,2490.0
4.7781225371,-37.067966321,-65.814207983,-19.422854452,2500.0
4.6595290614,-10.19396646,-67.40423612,-46.047426895,2510.0
4.6523091394,16.732971245,-67.560528706,-63.926784012,2520.0
4.7508536472,43.931839684,-68.108034764,-81.18049748,2530.0
5.280052183,72.282432741,-58.519833005,-97.380155994,2540.0
