S11m,S11p,S21m,S21p,Frequency
-4.458597024,80.390369439,-65.928925052,79.353184396,2000.0
-4.3218333444,42.495537353,-67.272217971,56.645808264,2010.0
-4.0932724977,6.404457977,-64.574069354,6.7159633612,2020.0
-3.8726059783,-27.955194413,-65.515526067,-54.488962889,2030.0
-3.7363950145,-61.186792828,-69.348563568,-82.811479183,2040.0
-3.731607901,-94.086040909,-67.044671571,-110.1799245,2050.0
-3.8683747379,-127.42718861,-66.4823891,-158.73058538,2060.0
-4.1023405435,-161.91760342,-64.418534609,143.4363711,2070.0
-4.3456150113,161.79761653,-63.365559972,57.614666754,2080.0
-4.5235475505,123.71418494,-63.831595663,-31.643148834,2090.0
-4.5779808482,84.832577215,-66.069563572,-111.12822346,2100.0
-4.4940541274,46.582515621,-69.972054286,-169.5533632,2110.0
-4.312216055,9.9626511832,-70.616502039,149.00800753,2120.0
-4.1025484928,-24.884407551,-68.349549033,88.232373776,2130.0
-3.9422068078,-58.448469805,-67.249104444,13.647258435,2140.0
-3.8902282079,-91.539288175,-68.372968309,-48.270334825,2150.0
-3.9795242873,-124.96873631,-69.34983286,-65.13873362,2160.0
-4.1951002316,-159.37554388,-64.081016669,-107.36426659,2170.0
-4.4657802204,164.8814761,-62.898104079,-172.91547435,2180.0
-4.6842444618,127.71620872,-64.477844013,124.72470938,2190.0
-4.7708009049,89.567950718,-67.921951403,59.697277686,2200.0
-4.7025116857,51.41924776,-77.002090521,9.0899021656,2210.0
-4.5303545675,14.270936093,-74.437191439,41.823897262,2220.0
-4.3508377611,-21.319473619,-67.4233151,-25.446216714,2230.0
-4.2278465344,-55.446364423,-65.492337061,-112.66223497,2240.0
-4.1837373534,-88.894616346,-68.380737504,138.66472512,2250.0
-4.2515760273,-122.63618572,-68.915969372,-4.7478804603,2260.0
-4.4511592164,-157.30007003,-66.098028329,-101.33065598,2270.0
-4.7268443041,166.92808842,-66.263264208,-165.81227472,2280.0
-4.957624661,129.92375161,-67.941047423,145.30363302,2290.0
-5.0552944124,91.994208547,-70.451984423,99.991511563,2300.0
-4.9951180159,54.125479524,-75.27097586,54.059116014,2310.0
-4.8221434456,17.297966687,-83.431891336,19.115352824,2320.0
-4.6243351226,-18.07103511,-87.962442501,14.986527425,2330.0
-4.4833632189,-52.299857724,-81.57452079,-45.320523795,2340.0
-4.4683681313,-86.029513463,-76.756313297,-161.22243799,2350.0
-4.6146508638,-119.78741466,-79.882040861,74.76460138,2360.0
-4.8737866137,-154.1231436,-96.684025812,-103.8695026,2370.0
-5.1602650846,170.16542194,-79.234358441,-45.083977913,2380.0
-5.4082679831,132.78719766,-71.971876835,-133.61617062,2390.0
-5.5273788095,94.424666993,-71.010062103,152.55246207,2400.0
-5.4721110938,56.246837359,-73.477539654,95.462790137,2410.0
-5.3003562096,19.251387572,-77.895425276,43.198807071,2420.0
-5.1050958194,-16.154123559,-78.346196402,-18.42367311,2430.0
-4.9674833258,-50.270750783,-71.083853001,-115.51793491,2440.0
-4.9514594129,-83.836670485,-65.111951295,158.29920036,2450.0
-5.1208591579,-117.63210074,-63.667145554,75.788864317,2460.0
-5.4624126201,-152.03796803,-65.346145523,13.407708823,2470.0
-5.8331221632,172.37247555,-65.725276907,-42.702322897,2480.0
-6.1100432459,135.05229534,-65.899505823,-106.4017111,2490.0
-6.2299545272,96.498531735,-66.079412472,-174.97467842,2500.0
-6.1784939829,57.970198238,-67.100121908,109.62495977,2510.0
-6.0214466142,20.612160599,-71.323062296,23.891139312,2520.0
-5.8589286626,-14.998281286,-84.205028515,-89.681501283,2530.0
-5.7657249518,-49.141977125,-82.881100112,34.62627875,2540.0
-5.8019065276,-82.717104779,-71.895117706,-103.7750562,2550.0
-6.027541402,-116.72523701,-62.877813567,151.93718176,2560.0
-6.4531025106,-151.62370446,-60.146528687,59.992011312,2570.0
-6.9237563612,172.36282412,-61.315364537,-14.667760724,2580.0
-7.2724376791,134.71648302,-63.726876244,-76.959183332,2590.0
-7.4273353821,95.875164711,-67.337530682,-132.01139485,2600.0
-7.3826001645,57.167838404,-70.659767887,-178.91130032,2610.0
-7.2164103049,19.805922762,-74.072388954,136.65285041,2620.0
-7.0566942606,-15.835877329,-80.207407216,130.39348093,2630.0
-7.0128540966,-50.209660412,-70.466455209,135.45417094,2640.0
-7.1612011995,-84.186223578,-62.691618223,64.741140924,2650.0
-7.538782136,-118.54059847,-60.419294004,-28.262021722,2660.0
-8.0958460297,-153.74180577,-63.416078094,-124.79942496,2670.0
-8.6818087084,169.65196023,-68.629272445,123.36754117,2680.0
-9.1373626576,131.33130099,-70.251381851,3.1956131208,2690.0
-9.3512501231,92.044478554,-70.430495805,-84.490272427,2700.0
-9.3189260919,53.269154732,-74.129743446,-145.31553405,2710.0
-9.1725172346,16.106996764,-81.320409334,172.90361187,2720.0
-9.076767495,-19.29812845,-88.246446945,-115.15014071,2730.0
-9.1513245078,-53.602076462,-74.020706168,-138.65461282,2740.0
-9.4752431995,-87.827299495,-67.843979702,152.50356939,2750.0
-10.131202809,-122.94113161,-63.961713485,68.558453749,2760.0
-11.1155952,-159.08107742,-64.031269902,-23.559980063,2770.0
-12.112509775,163.30632701,-69.926974009,-89.41208524,2780.0
-12.808034194,123.26140939,-71.634439688,-90.568437064,2790.0
-13.056111515,81.885664935,-68.253562994,-128.61047441,2800.0
-12.936351956,41.657013686,-67.571563701,-179.30592664,2810.0
-12.706552016,4.0043074641,-68.557910822,133.60818998,2820.0
-12.619277228,-31.212159355,-70.15566055,93.567982694,2830.0
-12.831784788,-64.99103892,-71.667707784,55.110182258,2840.0
-13.46573807,-98.653985393,-74.693177708,21.582857434,2850.0
-14.679120291,-133.7701622,-72.89988943,15.550774769,2860.0
-16.631689561,-171.0658556,-66.754148698,-41.371513821,2870.0
-18.905280077,149.01500114,-66.018755892,-118.17947207,2880.0
-20.492532234,102.70507499,-67.459214656,171.98858259,2890.0
-20.723072185,52.428998684,-70.010243173,108.1217006,2900.0
-19.98208749,6.600139147,-72.18060236,41.433445438,2910.0
-19.271141529,-32.808975642,-73.571644353,-31.067079868,2920.0
-19.137212431,-68.359755522,-73.874660742,-100.76450593,2930.0
-19.813469653,-103.1023658,-74.985858421,-165.45529264,2940.0
-21.501569754,-140.8164039,-82.820635616,142.32483253,2950.0
-24.385563973,170.57812682,-74.491962485,-161.65002659,2960.0
-26.731922021,97.828346931,-68.065211552,105.53767582,2970.0
-24.548455865,28.263369231,-70.786405163,-11.612299569,2980.0
-21.53126066,-15.700001974,-76.757725267,-136.94582018,2990.0
-19.4020704,-49.887027874,-82.454012596,137.93592938,3000.0
-18.161714003,-81.828353069,-89.389285319,122.87933249,3010.0
-17.671954049,-114.35941477,-84.806803285,156.86610664,3020.0
-17.765475651,-149.50042368,-77.966269894,131.38512927,3030.0
-18.15866716,170.7806834,-73.272590633,93.013770792,3040.0
-18.260450329,125.54245608,-69.579788173,37.539142898,3050.0
-17.423510889,78.014674847,-67.022215569,-27.87945039,3060.0
-15.824934617,33.440689782,-66.573651992,-115.65169938,3070.0
-14.317423186,-6.1626358254,-71.999376277,140.415161,3080.0
-13.229549494,-40.919900343,-86.305895141,-15.914571283,3090.0
-12.509708509,-73.18364305,-77.229234739,-155.37177,3100.0
-12.161412556,-105.08291517,-74.172320757,144.47794595,3110.0
-12.16276382,-138.09598672,-73.513028872,91.964990737,3120.0
-12.422112731,-173.53418357,-75.092450837,43.790977838,3130.0
-12.719776582,147.60558749,-77.692086798,-4.7354009419,3140.0
-12.699532543,105.70057908,-82.537447069,-63.021298435,3150.0
-12.125855315,63.265889094,-90.444807208,160.09119166,3160.0
-11.167503269,23.029712232,-90.796816631,42.990565065,3170.0
-10.242017013,-14.098119636,-79.725553022,74.84496696,3180.0
-9.5713275269,-48.261063597,-75.195483616,-13.615307233,3190.0
-9.1739513354,-80.679724015,-75.144737236,-83.742076767,3200.0
-9.0544383026,-112.89384187,-75.267890669,-153.66536829,3210.0
-9.1967187071,-146.30370969,-73.769533212,144.61170889,3220.0
-9.5069510811,177.89548353,-71.937153732,86.903108365,3230.0
-9.781894306,139.05275066,-70.768964821,33.32621311,3240.0
-9.7539487119,97.964565107,-70.168428335,-14.056429378,3250.0
-9.3090286158,56.924337421,-68.997402101,-55.643757689,3260.0
-8.6047065192,18.003599937,-66.070617624,-101.24806592,3270.0
-7.9234140607,-18.193643078,-63.991582695,-167.18557853,3280.0
-7.4439174672,-51.827377187,-65.408460913,126.12313138,3290.0
-7.1924767605,-83.982933233,-68.706926861,74.931662186,3300.0
-7.1771450623,-116.1115689,-71.895565698,42.273300276,3310.0
-7.3698901879,-149.50863649,-72.92215083,23.165881459,3320.0
-7.6775155408,174.76723516,-71.715290625,-12.176003244,3330.0
-7.929307805,136.32922207,-72.084630806,-60.603454145,3340.0
-7.9331851262,96.010736658,-75.492875283,-119.9279859,3350.0
-7.6121990771,55.791761468,-84.284124134,125.44685501,3360.0
-7.0799984465,17.532134442,-75.866186679,-8.8315074425,3370.0
-6.5414864961,-18.085272288,-70.811506536,-81.781957836,3380.0
-6.1702007085,-51.434344343,-69.98066545,-150.5606917,3390.0
-6.0040427731,-83.354166739,-73.46707466,154.25108686,3400.0
-6.0293814643,-115.20954609,-79.000334765,129.66976494,3410.0
-6.2186701291,-148.19780006,-77.901822485,153.46604332,3420.0
-6.503741028,176.7485877,-72.16383402,119.21383755,3430.0
-6.765560214,139.20567656,-69.673968318,67.305701122,3440.0
-6.8533158024,99.648953409,-69.67384962,12.656137784,3450.0
-6.677111226,59.713935308,-71.83107738,-43.324792123,3460.0
-6.303060946,21.264645038,-75.198224778,-100.9663988,3470.0
-5.8993726342,-14.774181005,-83.151685606,-157.30972618,3480.0
-5.5993084256,-48.674291145,-91.565160597,-166.20292456,3490.0
-5.4593072449,-81.267546116,-92.217429479,118.14784061,3500.0
-5.4736904705,-113.56866759,-87.83398497,30.749122696,3510.0
-5.6158972546,-146.63101592,-85.754775716,-43.369608106,3520.0
-5.8419189392,178.64497853,-84.803439231,-102.53852447,3530.0
-6.0651805323,141.74631296,-81.350661653,-157.16801291,3540.0
-6.1654744788,102.99933538,-78.204342928,156.02266674,3550.0
-6.064262666,63.706551774,-76.110946752,105.73976481,3560.0
-5.8052232057,25.467496136,-75.412367684,64.303787836,3570.0
-5.5065690063,-10.826576394,-74.181815468,23.944861579,3580.0
-5.2674188576,-45.169124057,-73.872300066,-25.802904874,3590.0
-5.1312145601,-78.150853678,-76.407602631,-84.278198753,3600.0
-5.1160948045,-110.63948698,-81.859370552,-142.20492806,3610.0
-5.2195316957,-143.58506748,-92.655154163,136.01759134,3620.0
-5.4121833946,-177.93599016,-105.55729138,-148.51598565,3630.0
-5.6262134032,145.73436657,-90.05381378,104.83930055,3640.0
-5.7628395164,107.51700052,-83.120761736,11.578497049,3650.0
-5.7460327602,68.382230399,-82.028662654,-70.71046235,3660.0
-5.5767191854,29.713033435,-83.239251239,-146.98228164,3670.0
-5.3200143426,-7.3842637816,-80.950677916,131.61789369,3680.0
-5.0617305765,-42.485464578,-78.579146831,79.120326056,3690.0
-4.8734270665,-75.850858083,-76.515878315,25.853877372,3700.0
-4.7890656171,-108.21396603,-76.684439686,-20.385787107,3710.0
-4.8203079123,-140.53523222,-77.913348603,-53.802591907,3720.0
-4.9534931324,-173.69733138,-80.385562773,-89.767249213,3730.0
-5.1525816048,151.56310867,-84.499916132,-106.95664657,3740.0
-5.3555976849,114.93473456,-84.172461274,-101.85844118,3750.0
-5.4833620611,76.704798192,-82.434814175,-146.44628987,3760.0
-5.4636650614,37.874319583,-83.643210902,145.70777259,3770.0
-5.2918627779,-0.16535845977,-85.800917145,70.589143457,3780.0
-5.0439815,-36.434481177,-86.430759839,-2.0026846436,3790.0
-4.8151945983,-70.784152926,-88.298215742,-47.554204337,3800.0
-4.6717641491,-103.70894463,-91.074960479,-88.303075171,3810.0
-4.6392950243,-136.00524824,-93.458991345,-150.27672936,3820.0
-4.7207862327,-168.58202872,-95.753617542,118.22569028,3830.0
-4.9047940362,157.68343138,-90.578724752,57.393196515,3840.0
-5.14716515,122.10266804,-84.909017941,48.317347287,3850.0
-5.3630294182,84.500642546,-77.145047851,6.7096121047,3860.0
-5.4391565787,45.591324787,-74.131429195,-46.079771596,3870.0
-5.3272313576,6.835761407,-73.277997399,-97.096730306,3880.0
-5.0844816652,-30.39979066,-74.248688454,-141.96771792,3890.0
-4.8147621321,-65.537114517,-76.42376869,165.38671516,3900.0
-4.6065882403,-98.792713225,-79.653299237,101.40115344,3910.0
-4.5116307999,-130.88279357,-82.408186,15.399976664,3920.0
-4.5514570313,-162.73176539,-82.668810745,-63.27661611,3930.0
-4.7256749267,164.6220605,-81.66590604,-114.66159313,3940.0
-5.0003044674,130.23702365,-80.199115821,-154.73579322,3950.0
-5.2936179648,93.565511814,-76.959381309,149.05825149,3960.0
-5.4838948116,54.885290292,-75.518165279,86.119540778,3970.0
-5.4798985185,15.418689439,-74.753910519,19.348489013,3980.0
-5.2848049521,-23.166098129,-74.641437249,-30.476979216,3990.0
-5.0011908317,-59.728051697,-74.444897502,-75.138892219,4000.0
-4.7449397226,-94.086718003,-75.036093793,-114.50022473,4010.0
-4.5946885475,-126.819511,-76.524544548,-159.16342456,4020.0
-4.5879285704,-158.90008982,-79.964108475,166.18736514,4030.0
-4.7201059029,168.60517519,-84.279420509,145.28478676,4040.0
-4.9569302388,134.70963838,-89.406349298,142.04945401,4050.0
-5.2315243518,98.754581976,-87.371825367,148.63703867,4060.0
-5.4409357826,60.730103752,-83.621965263,107.43206255,4070.0
-5.4816620846,21.569797311,-82.862014936,40.7311913,4080.0
-5.3302762683,-17.152003768,-82.072518125,-21.000395541,4090.0
-5.0654145367,-54.06175647,-79.763225826,-73.153338115,4100.0
-4.807012099,-88.724383605,-78.191779077,-116.71229482,4110.0
-4.6413704917,-121.58870813,-77.59738622,-163.73535639,4120.0
-4.6031541202,-153.4891696,-79.108873222,149.56055805,4130.0
-4.6892977298,174.60334663,-82.373619006,109.08131655,4140.0
-4.8824571174,141.73345153,-84.276095203,96.293680188,4150.0
-5.1427203711,107.10196722,-82.78781278,84.616074331,4160.0
-5.3965545754,70.341871987,-78.281537802,34.431037588,4170.0
-5.5408341293,31.86310002,-75.734434389,-27.067870789,4180.0
-5.5109858321,-7.0684506297,-75.061217107,-86.769681895,4190.0
-5.3439910627,-45.000111631,-75.473917415,-139.72043922,4200.0
-5.1334527066,-81.121985855,-75.933039117,177.61693969,4210.0
-4.9669083624,-115.44128091,-76.866920966,133.58627409,4220.0
-4.8916218402,-148.49033465,-79.914408552,84.566140645,4230.0
-4.9212731667,178.95254599,-84.141271165,67.472293949,4240.0
-5.0491609259,145.96297882,-84.857545814,34.289640051,4250.0
-5.2503694984,111.70396865,-91.963994794,1.8046938638,4260.0
-5.4664014099,75.742431365,-89.03153549,61.004978578,4270.0
-5.6207123694,38.195171464,-80.587994398,15.774487326,4280.0
-5.656539941,-0.12794550049,-77.13305017,-37.313129288,4290.0
-5.5745727284,-38.097389151,-74.894791839,-79.889826424,4300.0
-5.4197824635,-74.78199928,-72.766719456,-122.9503136,4310.0
-5.2605863937,-109.80814515,-70.522622157,-166.92279309,4320.0
-5.1596805905,-143.41189554,-69.023243907,143.3975641,4330.0
-5.1529237048,-176.17360256,-69.749702891,87.549417398,4340.0
-5.2413288717,151.0614654,-72.494304555,42.188596935,4350.0
-5.4161019599,117.48450399,-76.081745985,10.985898064,4360.0
-5.6459299074,82.48548223,-77.327517042,8.1455292306,4370.0
-5.8791457082,45.79401161,-72.872293002,-18.896398623,4380.0
-6.0491508382,7.6624669988,-70.651364713,-76.321800213,4390.0
-6.0943691983,-31.054956719,-71.455279555,-136.29592688,4400.0
-6.0049568789,-69.188385846,-74.315904298,165.71664916,4410.0
-5.8384041941,-105.86136893,-78.585466524,78.090110621,4420.0
-5.6796050218,-140.92273533,-76.348273283,-50.505221506,4430.0
-5.5907804288,-174.71297818,-71.593282874,-140.67450738,4440.0
-5.5893430195,152.14915952,-71.443585325,151.51936016,4450.0
